,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
614,0.33000100000001,0.620002999999997,-3.9799800000000687,3.929932000000008,-39.900391000001036,119.89990199999966,152.20019599999978,-87.79980499999965,8.599610000001121,-16.299804000000222,107.860001
615,2.3299949999999967,0.33000100000001,23.8800040000001,10.68994100000009,265.1103510000012,-46.86987299999964,5.790039000000434,52.80029300000024,-478.54882799999905,7.640625,108.190002
616,-0.23999799999999993,2.3299949999999967,12.34997599999997,64.26000999999997,45.04980500000056,-24.640137000000777,-204.9902350000002,-3.199706999999762,143.26953100000173,-55.63964800000031,110.519997
617,1.1399989999999889,-0.23999799999999993,-3.790038999999979,-7.179932000000008,-19.42968700000165,-9.829833999999664,40.37988300000052,45.5,-154.24023400000078,87.74023400000078,110.279999
618,0.8600010000000111,1.1399989999999889,22.81005899999991,37.08007899999984,211.83984300000157,100.92993200000001,-20.919922000000952,48.89990200000011,33.138671999997314,-15.609375,111.41999799999999
619,-0.4499969999999962,0.8600010000000111,1.9599600000001374,23.030029000000013,5.740234999999302,-4.770019999999931,63.16992200000095,0.800293000000238,306.28906300000017,-192.51953099999992,112.279999
620,1.2900009999999895,-0.4499969999999962,0.18005399999992733,-7.6501469999998335,25.019530999999915,-170.820068,123.79003899999952,0.800293000000238,-91.08007799999905,-125.2402349999993,111.83000200000001
621,-1.7099989999999963,1.2900009999999895,6.630004999999983,32.17016599999988,17.459961000000476,36.69018499999993,30.560058999999455,-23.0,-180.58984399999827,4.599609999999302,113.120003
622,-1.7700049999999976,-1.7099989999999963,-8.890014999999948,-44.28002900000001,-10.509766000001036,-22.050047999999606,-24.140136999999413,27.5,235.88085900000078,50.839844000000085,111.410004
623,-0.9499969999999962,-1.7700049999999976,-18.330077999999958,-32.42016599999988,-148.65038999999888,4.729979999999614,113.68994199999906,44.20019500000035,-8.589843000001565,-17.07031300000017,109.639999
624,-0.950004000000007,-0.9499969999999962,-4.639892000000145,-18.20996100000002,3.7802730000003066,120.31005899999991,-21.239745999999286,-43.5,-54.04882799999905,-15.82031299999835,108.690002
625,0.29000100000000373,-0.950004000000007,-15.830077999999958,-21.469970999999987,-143.59960900000078,46.6198730000001,42.10986299999968,-58.5,-161.4101559999981,138.79980400000022,107.739998
626,-2.010002,0.29000100000000373,2.4000240000000304,2.6999519999999393,-10.430663999999524,7.360106999999971,96.5302730000003,-20.10009700000046,-274.66992200000095,42.5097650000007,108.029999
627,-2.099999000000011,-2.010002,-6.40002400000003,-43.510009999999966,-7.330078000000867,98.81982400000015,-65.55029299999933,-53.60009799999989,-43.449218999998266,-121.31054699999913,106.019997
628,-0.7699959999999919,-2.099999000000011,-30.53991700000006,-49.88989300000003,-267.3798829999996,-17.68994100000009,-35.65966800000024,-35.39990299999954,83.06835999999748,-4.330078000000867,103.91999799999999
629,-0.04000100000000373,-0.7699959999999919,-9.46008299999994,-23.280029000000013,-95.07031300000017,13.390136999999868,13.17968799999926,-36.19970699999976,188.86914099999922,-22.560547000000952,103.150002
630,0.5299980000000062,-0.04000100000000373,-3.4499519999999393,-5.25,-40.73925799999961,65.34985299999971,-116.14990299999954,-21.800293000000238,109.63085999999748,-117.48046900000008,103.110001
631,-0.5100020000000001,0.5299980000000062,0.43994199999997363,16.780029000000013,-46.04980400000022,-47.389891999999236,-18.859862999999677,-47.19970699999976,102.20898499999748,13.580077999999048,103.639999
632,3.870002999999997,-0.5100020000000001,0.45007299999997485,-22.620116999999937,57.13964800000031,-37.459961000000476,-35.689941000000545,-8.200195999999778,-32.519531000001734,81.46972600000117,103.129997
